,Name,Department,Faculty
154,Evgeny Timofeev,Department of Mechanical Engineering,Faculty of Engineering
155,Nathalie Tufenkji,Department of Chemical Engineering,Faculty of Engineering
156,Ipek Türeli,The Peter Guo-hua Fu School of Architecture,Faculty of Engineering
157,Theodora Vardouli,The Peter Guo-hua Fu School of Architecture,Faculty of Engineering
158,Daniel Varro,Department of Electrical and Computer Engineering,Faculty of Engineering
159,David Wachsmuth,School of Urban Planning,Faculty of Engineering
160,Caroline Wagner,Department of Bioengineering,Faculty of Engineering
161,Xiaozhe Wang,Department of Electrical and Computer Engineering,Faculty of Engineering
162,Kristian Waters,Department of Mining and Materials Engineering,Faculty of Engineering
163,Lili Wei,,Faculty of Engineering
164,Yu Xia,Department of Bioengineering,Faculty of Engineering
165,Viviane Yargeau,Department of Chemical Engineering,Faculty of Engineering
166,Stephen Yue,Department of Mining and Materials Engineering,Faculty of Engineering
167,Yaoyao Zhao,Department of Mechanical Engineering,Faculty of Engineering
168,Zeljko Zilic,Department of Electrical and Computer Engineering,Faculty of Engineering
169,Paul Joseph Zsombor-Murray,Department of Mechanical Engineering,Faculty of Engineering
