Name,Title,Department
Paul Beaumont,Assistant Professor,Desautels Faculty of Management
Jacquie Bede,Associate Professor,Department of Plant Science
Daniel Béland,"James McGill Professor | Director, McGill Institute for the Study of Canada","Department of Political Science, McGill Institute for the Study of Canada (MISC)"
Graham Bell,Full Professor,Department of Biology
Lorraine Bell,Associate Professor,Department of Pediatrics
Moshe Ben-Shoshan,Assistant Professor,"Department of Epidemiology, Biostatistics and Occupational Health, Department of Medicine, Department of Pediatrics, Division of Experimental Medicine, Montreal Children's Hospital (MCH)"
Samuel Benaroya,Associate Professor,"Department of Medicine, Division of General Internal Medicine"
Hassan Benchekroun,Full Professor,Department of Economics
Mette Bendixen,Assistant Professor,Department of Geography
Elena Bennett,Full Professor | Canada Research Chair in Sustainability Science,"Department of Natural Resource Sciences, Bieler School of Environment"
Laura A Beraha,Associate Professor,Languages and Literatures Administrative Services
Eugene Bereza,Senior Ethics Consultant,"Biomedical Ethics Unit, McGill University Health Centre (MUHC)"
John Bergeron,Professor of Medicine | Emeritus Robert Reford Professor of Anatomy,"Department of Anatomy and Cell Biology, Department of Medicine, Division of Endocrinology and Metabolism"
Albert Berghuis,"Full Professor | Chair, Department of Biochemistry ","Department of Biochemistry, Department of Microbiology and Immunology"
Jeffrey Bergthorson,Associate Professor,Department of Mechanical Engineering
Marcelo T. Berlim,Assistant Professor,"Department of Psychiatry, Douglas Hospital Research Centre"
Andrea Bernasconi,Full Professor,"MNI - Department of Neurology and Neurosurgery, Neuro Montreal"
Sasha Bernatsky,,"Department of Epidemiology, Biostatistics and Occupational Health, University Clinic - Montreal General Hospital"
Kirk H. Bevan,Associate Professor,Department of Mining and Materials Engineering
Farhan Bhanji,"Full Professor | Director of Education, Steinberg Centre for Simulation and Interactive Learning","Department of Pediatrics, Montreal Children's Hospital (MCH)"
Robin Billick,,Medicine - Jewish General Hospital
André Bilodeau,Adjunct Professor,"Campus Outaouais, Department of Family Medicine"
Irving M Binik,,Department of Psychology
Michel Biron,,Department of French Language and Literature
Adelle Blackett,Full Professor | Canada Research Chair in Transnational Labour Law and Development,Faculty of Law
Cindy Blackstock,Full Professor,"Centre for Research on Children and Families (CRCF), School of Social Work"
Mathieu Blanchette,,School of Computer Science
Volker Blank,,"Department of Physiology, Medicine - Jewish General Hospital"
Gordon Bloom,Full Professor,Department of Kinesiology and Physical Education (KPE)
Alicia Boatswain-Kyte,Assistant Professor,"Centre for Research on Children and Families (CRCF), School of Social Work"
Charles Boberg,Associate Professor,Department of Linguistics
Veronique Bohbot,,"Department of Psychiatry, McGill Centre for Studies in Aging (MCSA), MNI - Department of Neurology and Neurosurgery"
David Bohle,,Department of Chemistry
Jean-Francois Boivin,Professor Emeritus ,"Department of Epidemiology, Biostatistics and Occupational Health, Department of Family Medicine"
Eugenio Bolongaro,,Languages and Literatures Administrative Services
Vilceu Bordignon,,Department of Animal Science
Marie-Hélène Boudrias,Associate Professor ,School of Physical and Occupational Therapy
François Bouffard,Associate Professor | William Dawson Scholar,Department of Electrical and Computer Engineering
Jean Bourbeau,,"Department of Epidemiology, Biostatistics and Occupational Health, Department of Kinesiology and Physical Education (KPE), University Clinic - Royal Victoria Hospital"
Guillaume Bourque,"Full Professor | Director of Bioinformatics, McGill University and Genome Quebec Innovation Centre","Department of Human Genetics, McGill University and Génome Québec Innovation Centre"
France Bouthillier,,School of Information Studies (SIS)
Derek Bowie,Full Professor,"Department of Pharmacology and Therapeutics, MNI - Department of Neurology and Neurosurgery"
Daniel Boyer,,McGill Library
Charles de Brabant,"Executive Director, Bensadoun School of Retail Management",Desautels Faculty of Management
David Brackett,"Full Professor, Canada Research Chair in Popular Music and Society",Department of Music Research (Schulich School of Music)
Lara Braitstein,,Faculty of Religious Studies
Paul Brassard,,"Department of Epidemiology, Biostatistics and Occupational Health, University Clinic - Royal Victoria Hospital"
Sarah Brauner-Otto,Associate Professor | Director of the Centre on Population Dynamics,Department of Sociology
Nancy Braverman,,Department of Pediatrics
Mark R Brawley,,Department of Political Science
Dorothy A Bray,,Department of English
Sebastien Breau,,Department of Geography
Albert S Bregman,,Department of Psychology
Leslie Breitner,Senior Faculty Lecturer,Desautels Faculty of Management
Alain Breuleux,Associate Professor,Department of Educational and Counselling Psychology (ECP)
Dalius J Briedis,,Department of Microbiology and Immunology
Pascal Brissette,Associate Professor,Department of French Language and Literature
Michael D. Bristol,Greenshields Professor Emeritus,Department of English
Mathieu Brochu,"Associate Professor, Canada Research Chair in Pulse Processing of Nanostructured Materials",Department of Mining and Materials Engineering
Gordon Brock,,Department of Family Medicine
Penina Brodt,,"Division of Experimental Medicine, Division of General Surgery, Rosalind and Morris Goodman Cancer Centre (GCC)"
James (Jay ) Brophy,,Department of Medicine
Shari Brotman,Associate Professor,School of Social Work
Gary Brouhard,,Department of Biology
Robert Brouillette,,Department of Pediatrics
Gregory G Brown,,"Department of Biology, Department of Plant Science"
Alain Brunet,Professor,"Department of Psychiatry, McGill Centre for Studies in Aging (MCSA), MNI - Department of Neurology and Neurosurgery"
Thomas Brunner,Assistant Professor,Department of Physics
Rex Brynen,Full Professor,Department of Political Science
R Philip Buckley,,"Department of East Asian Studies, Department of Philosophy"
Christopher Buddle,Full Professor | Associate Provost (Teaching and Academic Programs),"Department of Natural Resource Sciences, Bieler School of Environment, Office of the Provost"
Richard Budgell,"Assistant Professor | Professor of Practice, Inuit and Northern Health Promotion",Department of Family Medicine
Thomas E Bureau,,Department of Biology
Benjamin Burko,,Department of Family Medicine
Jennifer C Burman,,Department of Art History and Communication Studies
Miguel Noel Burnier,,"Department of Microbiology and Immunology, Department of Oncology, Department of Ophthalmology"
Julia Valdemarin Burnier,Assistant Professor,Faculty of Medicine and Health Sciences
A Howard Bussey,,Department of Biology
Deborah Buszard,,Department of Plant Science
Ian Sydney Butler,,Department of Chemistry
Danilo Bzdok,Associate Professor,"Department of Biomedical Engineering, MNI - McConnell Brain Imaging Centre"
Éric Bélanger,Full Professor,Department of Political Science
Gwyn Campbell,,Department of History and Classical Studies
Eric Caplan,Associate Professor,"Department of Integrated Studies in Education (DISE), Department of Jewish Studies"
William Earl Caplin,Distinguished James McGill Professor of Music Theory,Department of Music Research (Schulich School of Music)
Francesca Carrieri,,Desautels Faculty of Management
Mindy R. Carter,Associate Professor​,Department of Integrated Studies in Education (DISE)
Lola Cartier-Borys,,Department of Pediatrics
Gabrielle Cassir,Assistant Professor ,Department of Obstetrics and Gynecology
Rui Castro,Full Professor,Department of Economics
Ralph Cecere,,"Career and Professional Development, Desautels Faculty of Management"
Daniel M Cere,,Faculty of Religious Studies
Nicolas Cermakian,,"Department of Microbiology and Immunology, Department of Physiology, Department of Psychiatry, MNI - Department of Neurology and Neurosurgery"
Francoise Chagnon,,Department of Otolaryngology - Head and Neck Surgery
Lorraine E Chalifour,,Medicine - Jewish General Hospital
Benoit Champagne,,Department of Electrical and Computer Engineering
Thomas Ming Swi Chang,"Director, Artificial Cell and Organ Research Centre | Emeritus Professor","Artificial Cells and Organs Research Centre, Department of Biomedical Engineering, Department of Medicine, Department of Physiology"
Frederic Charbonneau,,Department of French Language and Literature
Jean-Pierre Chartrand,,Department of Ophthalmology
Ronald Chase,,Department of Biology
Mohammed M Chaudhury,,Desautels Faculty of Management
Brian Chen,,University Clinic - Montreal General Hospital
Lawrence R Chen,,Department of Electrical and Computer Engineering
Simone Chevalier,,"Department of Oncology, Division of Experimental Medicine, Division of Urology"
Stéphanie Chevalier,Associate Professor,"Department of Medicine, Research Institute - McGill University Health Centre (RI MUHC), School of Human Nutrition"
Jonathan Chevrier,Dr.,"Department of Epidemiology, Biostatistics and Occupational Health"
Cynthia Chiang,Associate Professor,"Department of Physics, McGill Space Institute"
Gail L. Chmura,Full Professor,"Department of Geography, Bieler School of Environment"
James J Clark,,"Centre for Intelligent Machines (CIM), Department of Electrical and Computer Engineering"
Paul Clarke,,Department of Pharmacology and Therapeutics
Hugh Clarke,Full Professor,"Department of Obstetrics and Gynecology, Division of Experimental Medicine, Research Institute - McGill University Health Centre (RI MUHC)"
James M. Cline,Full Professor,Department of Physics
Jean-Francois Cloutier,,"Department of Anatomy and Cell Biology, MNI - Department of Neurology and Neurosurgery, Montreal Neurological Institute (MNI)"
Mark Coates,,Department of Electrical and Computer Engineering
Terence Coderre,,"Department of Anesthesia, Department of Psychology, Division of Experimental Medicine, MNI - Department of Neurology and Neurosurgery"
Ignacio Cofone,Associate Professor | Norton Rose Fulbright Faculty Scholar | Canada Research Chair in Artificial Intelligence Law and Data Governance,Faculty of Law
Monroe W Cohen,,Department of Physiology
Lisa Cohen,Associate Professor,Desautels Faculty of Management
Robin Cohen,Full Professor,"Department of Medicine, Gerald Bronfman Department of Oncology, Ingram School of Nursing, Lady Davis Institute for Medical Research, Sir Mortimer B. Davis Jewish General Hospital"
Maxime Cohen,"Full Professor | Co-Director, McGill Retail Innovation Lab",Desautels Faculty of Management
Delphine Collin-Vézina,"Full Professor | Director, Centre for Research on Children and Families","Centre for Research on Children and Families (CRCF), School of Social Work"
Erik Cook,,Department of Physiology
Nathalie M Cooke,,"Department of English, Department of History and Classical Studies"
Oliver T Coomes,Full Professor,"Department of Geography, Institute for the Study of International Development (ISID), Bieler School of Environment"
Henry Coopersmith,,Department of Family Medicine
Jeremy Cooperstock,,Department of Electrical and Computer Engineering
Patrick Cortbaoui,"Academic Associate | Managing Director, Margaret A. Gilliam Institute for Global Food Security",School of Human Nutrition
Sylvain Coulombe,Full Professor,Department of Chemical Engineering
Benoit Cousineau,Associate Professor,Department of Microbiology and Immunology
Nicolas Cowan,Full Professor,"Department of Earth and Planetary Sciences (EPS), Department of Physics, McGill Space Institute"
Brian Cowan,Associate Professor,Classical Studies - Department of History
Benjamin Croitoru,Associate Professor,Desautels Faculty of Management
Claude Crepeau,Full Professor,School of Computer Science
François Crépeau,"Full Professor, Hans & Tamar Oppenheimer Chair in Public International Law",Faculty of Law
Andrew Cumming,Associate Professor,"Department of Physics, McGill Space Institute"
Carl Cummings,,Department of Pediatrics
Robert Côté,,"McGill Centre for Studies in Aging (MCSA), MNI - Department of Neurology and Neurosurgery, University Clinic - Montreal General Hospital"
Brigitte Côté,,Department of Family Medicine
Benoit Côté,Associate Professor ,"Department of Natural Resource Sciences, Bieler School of Environment"
Kimiz Dalkir,"Associate Professor | Director, School of Information Studies ",School of Information Studies (SIS)
Mahshad Darvish,Assistant Professor,Department of Ophthalmology
Andre Dascal,,"Department of Microbiology and Immunology, Medicine - Jewish General Hospital"
Robert James David,,Desautels Faculty of Management
Natalie Dayan,Assistant Professor ,Department of Medicine
Sylvie de Blois,Associate Professor ,"Department of Plant Science, Bieler School of Environment"
Martha De Francisco,,Department of Music Research (Schulich School of Music)
Adolfo De Motta,,Desautels Faculty of Management
Theo Van de Ven,,Department of Chemistry
Bruno Debruille,,"Department of Psychiatry, MNI - Department of Neurology and Neurosurgery"
Mary Decell,,Department of Pediatrics
Jaime Del Carpio,,University Clinic - Royal Victoria Hospital
Bruno Delorme,Faculty Lecturer ,"Desautels Faculty of Management, School of Continuing Studies"
Ari Demirjian,,University Clinic - Montreal General Hospital
George Demopoulos,"Gerald G. Hatch Chair Professor | Chair, Mining and Materials Engineering","Department of Mining and Materials Engineering, Trottier Institute for Sustainability in Engineering and Design (TISED)"
Myriam Denov,"Full Professor | Canada Research Chair in Youth, Gender and Armed Conflict","Centre for Research on Children and Families (CRCF), School of Social Work"
Joseph Alan Dent,,Department of Biology
Philippe Depalle,,Department of Music Research (Schulich School of Music)
Jeff Derevensky,James McGill Professor,Department of Educational and Counselling Psychology (ECP)
Jeffrey Derevensky,James McGill Professor,"Department of Educational and Counselling Psychology (ECP), Department of Psychiatry, Institute for the Study of International Development (ISID), International Centre for Youth Gambling Problems and High-Risk Behaviors"
Jean Deschenes,,Department of Ophthalmology
Marguerite Deslauriers,,Department of Philosophy
Diane Desrosiers,,Department of French Language and Literature
Antal Deutsch,,Department of Economics
Nicholas Dew,,Department of History and Classical Studies
John Di Battista,,"Department of Anatomy and Cell Biology, Department of Pharmacology and Therapeutics, University Clinic - Royal Victoria Hospital"
George Di Giovanni,Emeritus Professor,"Department of Philosophy, Faculty of Religious Studies"
Luda Diatchenko,Full Professor | Pfizer Canada Professor in Pain Research | Canada Excellence Research Chair in Human Pain Genetics,"Alan Edwards Centre for Research on Pain, Faculty of Dentistry, Faculty of Medicine and Health Sciences"
Yichuan (Daniel) Ding,Assistant Professor,Desautels Faculty of Management
Marino J Discepola,,Department of Ophthalmology
Maziar Divangahi,Associate Professor | Strauss Chair in Respiratory Diseases,"Department of Medicine, Meakins-Christie Laboratories, Research Institute - McGill University Health Centre (RI MUHC)"
Patricia Dobkin,,"Department of Social Studies of Medicine, University Clinic - Montreal General Hospital"
Jan Doering,Assistant Professor,Department of Sociology
Noémie-Manuelle Dorval Courchesne,Assistant Professor,Department of Chemical Engineering
Peter Douglas,Assistant Professor,Department of Earth and Planetary Sciences (EPS)
Martin Drapeau,,"Department of Educational and Counselling Psychology (ECP), Department of Psychiatry"
Mark Driscoll,,Department of Mechanical Engineering
Christophe Dubach,Associate Professor,Department of Electrical and Computer Engineering
Laurette Dube,,Desautels Faculty of Management
Adam Dubé,Associate Professor,Department of Educational and Counselling Psychology (ECP)
Simon Ducharme,Associate Professor,"Department of Psychiatry, Douglas Research Centre, MNI - McConnell Brain Imaging Centre, Montreal Neurological Institute-Hospital, Research Institute - McGill University Health Centre (RI MUHC)"
Gregory L Dudek,,"Department of Electrical and Computer Engineering, School of Computer Science"
Daniel Dufort,,"Department of Biology, Department of Obstetrics and Gynecology, Division of Experimental Medicine"
Edward Dunsworth,Assistant Professor ,Department of History and Classical Studies
Pierre R L Dutilleul,Full Professor,"Department of Mathematics and Statistics, Department of Plant Science, Bieler School of Environment"
Linda Edgar,,Department of Oncology
Christian Ehret,Assistant Professor,"Department of Integrated Studies in Education (DISE), Faculty of Education"
Allen Ehrlicher,Associate Professor,Faculty of Engineering
Barry Eidlin,Assistant Professor,Department of Sociology
Mark J Eisenberg,,"Department of Epidemiology, Biostatistics and Occupational Health, Medicine - Jewish General Hospital, Undergraduate Medical Education & Student Affairs"
Mourad N El-Gamal,,Department of Electrical and Computer Engineering
Ahmed El-Geneidy,Full Professor,School of Urban Planning
Frank Elgar,Associate Professor | Canada Research Chair in Social Inequality in Child Health (Tier II),"Department of Psychiatry, Department of Psychology, Institute for Health and Social Policy"
Pearl Eliadis,Adjunct Professor,"Faculty of Law, Max Bell School of Public Policy"
Kyle Elliott,Assistant Professor | Canada Research Chair (Tier II) in Arctic Ecology,Department of Natural Resource Sciences
Jaye Dana Ellis,,Faculty of Law
Carolyn Ells,,University Clinic - Royal Victoria Hospital
Sherif Emil,"Mirella & Lino Saputo Foundation Chair in Surgical Education and Patient and Family Centered Care, Associate Chair for Education",Department of Pediatric Surgery
James Engert,,"Department of Human Genetics, University Clinic - Royal Victoria Hospital"
Patrick L Ergina,,Division of Cardiothoracic Surgery
Jan Ericsson,Associate Professor,Desautels Faculty of Management
Vihang R Errunza,,Desautels Faculty of Management
Hamid Etemad,,Desautels Faculty of Management
Dror Etzion,,Desautels Faculty of Management
Jane Everett,,Department of French Language and Literature
Nicole Ezer,Assistant Professor,"Department of Epidemiology, Biostatistics and Occupational Health, Department of Medicine, Division of Experimental Medicine, Research Institute - McGill University Health Centre (RI MUHC)"
Alain Farah,,Department of French Language and Literature
Francois Fassier,,"MCH - Division of Pediatric Surgery, Shriners Hospital for Children"
Lesley Fellows,,"Department of Pharmacology and Therapeutics, Department of Psychology, MNI - Department of Neurology and Neurosurgery"
John-Paul Ferguson,Associate Professor,Desautels Faculty of Management
Frank P Ferrie,,Department of Electrical and Computer Engineering
Catherine S Fichten,,Department of Psychiatry
Françoise Filion,"Assistant Professor | Co-Chair, Global and Indigenous Health Nursing",Ingram School of Nursing
Lea Fima,,Department of Jewish Studies
Pierre Fiset,,Department of Anesthesia
Marilyn R Fitzpatrick,,Department of Educational and Counselling Psychology (ECP)
Jennifer Fitzpatrick,,Department of Human Genetics
Joe Flanders,Assistant Professor,Department of Psychology
Marie Josee Fleury,,Department of Psychiatry
William Foulkes,,"Department of Obstetrics and Gynecology, Department of Oncology, University Clinic - Montreal General Hospital"
Evan Fox-Decent,,Faculty of Law
Eduardo L F Franco,,"Department of Obstetrics and Gynecology, Department of Oncology, Department of Pathology, Faculty of Dentistry"
Richard Fraser,,Department of Pathology
Saul Frenkiel,,Department of Otolaryngology - Head and Neck Surgery
Avi Friedman,Full Professor,School of Architecture
Dominic Frigon,Full Professor,Department of Civil Engineering and Applied Mechanics
Jörg Fritz,Associate Professor,Department of Microbiology and Immunology
Tomislav Friščić,Associate Professor,Department of Chemistry
Michael Fronda,,Department of History and Classical Studies
Ichiro Fujinaga,,Department of Music Research (Schulich School of Music)
Nate Fuks,"Assistant Professor | Director, Virginia I. Douglas Centre for Clinical Psychology",Department of Psychology
Benjamin Fung,Full Professor | Canada Research Chair in Data Mining for Cybersecurity,School of Information Studies (SIS)
W Robert J Funnell,,"Department of Biomedical Engineering, Department of Electrical and Computer Engineering, Department of Obstetrics and Gynecology"
Gregor Fussmann,,"Department of Biology, Gault Nature Reserve - Mont-Saint-Hilaire"
Wanda Gabriel,Assistant Professor,School of Social Work
Anita J Gagnon,"Associate Dean, Faculty of Medicine | Director, Ingram School of Nursing","Ingram School of Nursing, Research Institute - McGill University Health Centre (RI MUHC)"
John Galaty,Full Professor,"Department of Anthropology, Bieler School of Environment"
Eric Galbraith,Full Professor,"Department of Atmospheric and Oceanic Sciences, Department of Earth and Planetary Sciences (EPS)"
Imed Gallouzi,Full Professor,"Department of Biochemistry, Rosalind and Morris Goodman Cancer Centre (GCC)"
Susan J Gaskin,Associate Professor,"Department of Civil Engineering and Applied Mechanics, Bieler School of Environment"
Anne Gatignol,Full Professor ,"Department of Medicine, Department of Microbiology and Immunology, Division of Experimental Medicine, Lady Davis Institute for Medical Research, Sir Mortimer B. Davis Jewish General Hospital"
Serge G Gauthier,Full Professor,"Department of Pharmacology and Therapeutics, Department of Psychiatry, Geriatric Medicine"
Raynald Gauvin,,Department of Mining and Materials Engineering
Timothy Geary,,"Department of Pharmacology and Therapeutics, Institute of Parasitology"
Maiya Geddes,Assistant Professor,MNI - Department of Neurology and Neurosurgery
Kalle Burgess Gehring,Full Professor,Department of Biochemistry
Anja Geitmann,Dean,Department of Plant Science
Nicolas Gendron-Carrier,Assistant Professor,Department of Economics
Angela Genge,,"MNI - Department of Neurology and Neurosurgery, Montreal Neurological Institute (MNI)"
Ratna Ghosh,,Department of Integrated Studies in Education (DISE)
Subhasis Ghoshal,"Full Professor | Director, Trottier Institute for Sustainability in Engineering and Design","Department of Civil Engineering and Applied Mechanics, Trottier Institute for Sustainability in Engineering and Design (TISED)"
Louis Gialloreto,,"Desautels Faculty of Management, McGill Executive Institute"
Vincent Giguere,,Molecular Oncology Group (MOG)
Lucy Gilbert,Full Professor,"Department of Obstetrics and Gynecology, Gerald Bronfman Department of Oncology, Research Institute - McGill University Health Centre (RI MUHC)"
Brian Gilfix,,"Department of Human Genetics, Postgraduate Medical Education, University Clinic - Royal Victoria Hospital"
Kathryn Gill,,Department of Psychiatry
Sheryl Smith-Gilman,Faculty Lecturer,Department of Integrated Studies in Education (DISE)
Terri Givens,Full Professor,Department of Political Science
Robert Godin,,Faculty of Law
Phil Gold,,University Clinic - Montreal General Hospital
Richard Gold,James McGill Professor,"Department of Human Genetics, Faculty of Law"
Larry Goldsman,Retired Faculty Lecturer,Desautels Faculty of Management
Benjamin Goldstein,Assistant Professor,Department of Bioresource Engineering
David Goltzman,,University Clinic - Royal Victoria Hospital
Natalya Gomez,Assistant Professor |  Canada Research Chair in the Geodynamics of Ice Sheet - Sea Level Interactions,Department of Earth and Planetary Sciences (EPS)
Allison Gonsalves,"Assistant Professor, Director, Science Education Laboratories",Department of Integrated Studies in Education (DISE)
Andrew Gonzalez,Full Professor | Liber Ero Chair in Conservation Biology,Department of Biology
Jean Gotman,,"Department of Biomedical Engineering, MNI - Department of Neurology and Neurosurgery"
Roland Grad,Associate Professor,"Department of Family Medicine, Lady Davis Institute for Medical Research, Sir Mortimer B. Davis Jewish General Hospital"
John Gradek,Faculty Lecturer,School of Continuing Studies
Brian Greenfield,,Department of Pediatrics
Irene Gregory-Eaves,,Department of Biology
Marie-Lyne Grenier,Faculty Lecturer,School of Physical and Occupational Therapy
Danielle Groleau,Associate Professor,Division of Social and Transcultural Psychiatry
Steven Grover,Full Professor ,Department of Medicine
Reut Gruber,Full Professor,"Department of Psychiatry, Douglas Research Centre"
Peter H Grutter,,Department of Physics
Catherine Guastavino,Associate Professor | William Dawson Scholar,"Department of Music Research (Schulich School of Music), School of Information Studies (SIS)"
Michael R Guevara,,Department of Physiology
Subal Das Gupta,Emeritus Professor,Department of Physics
John Richard Gyakum,,Department of Atmospheric and Oceanic Sciences
Fabien Gélinas,Full Professor Sir William C. Macdonald Chair,Faculty of Law
Wagdi George Habashi,"Professor | NSERC, Industrial Research Chair",Department of Mechanical Engineering
Daryl Haggard,Assistant Professor ,Department of Physics
Richard Haichin,Assistant Professor ,"Department of Medicine, Research Institute - McGill University Health Centre (RI MUHC)"
Murtaza Haider,,School of Urban Planning
Barbara F Hales,James McGill Professor,Department of Pharmacology and Therapeutics
Yael Halevi-Wise,"Associate Professor | Chair, Department of Jewish Studies","Department of English, Department of Jewish Studies"
Nathan Hall,Associate Professor,Department of Educational and Counselling Psychology (ECP)
John Hall,James McGill Professor of Sociology,Department of Sociology
Galen Pippa Halverson,Associate Professor,Department of Earth and Planetary Sciences (EPS)
Edith Hamel,Full Professor,MNI - Department of Neurology and Neurosurgery
Sunny Handa,Adjunct Professor,Faculty of Law
Catherine Hankins,Full Professor,"Department of Epidemiology, Biostatistics and Occupational Health"
Jill Hanley,Associate Professor,School of Social Work
David Hanna,Full Professor,Department of Physics
John W Hanrahan,Full Professor,Department of Physiology
Anna Hargreaves,Assistant Professor ,Department of Biology
Jason Harley,Assistant Professor,"Department of Surgery, Division of Experimental Medicine, Research Institute - McGill University Health Centre (RI MUHC)"
David Noble Harpp,Full Professor | Tomlinson Chair of Science Education,"Department of Chemistry, Faculty of Science"
Paul Harrison,Associate Professor,Department of Biology
William James Harvey,Associate Professor,Department of Kinesiology and Physical Education (KPE)
